                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6733,                 2.0909,                 1.2096,                0.67828,                0.45074,                0.59756,                0.39321,                 1.1189,                0.89065,                0.98867,               0.067413,             0.00032917,             0.00032917
                      2,                 1.4659,                0.96052,                 1.0807,                0.76934,                 0.4978,                0.66173,                0.43405,                 1.0607,                0.68477,                0.95363,               0.034409,             0.00065922,             0.00065922
                      3,                 1.3625,                0.79489,                 1.0212,                0.78858,                0.52817,                0.68762,                0.45666,                  1.037,                0.58836,                0.93658,              0.0014026,             0.00098597,             0.00098597
                      4,                 1.2663,                0.70725,                0.98137,                0.77169,                0.56923,                0.70532,                0.46628,                 1.0446,                 0.5582,                0.93497,             0.00098515,             0.00098515,             0.00098515
                      5,                 1.1927,                0.64898,                0.95273,                0.86409,                0.52953,                0.71888,                0.48245,                 1.0422,                0.54861,                0.92639,              0.0009802,              0.0009802,              0.0009802
                      6,                 1.1608,                0.62597,                0.94208,                0.79309,                0.62128,                0.74367,                0.47892,                 1.0344,                0.53192,                0.92224,             0.00097525,             0.00097525,             0.00097525
                      7,                 1.1295,                0.60596,                 0.9319,                 0.7952,                0.61157,                0.74259,                0.48912,                 1.0024,                0.51565,                0.91722,              0.0009703,              0.0009703,              0.0009703
                      8,                 1.0906,                 0.5801,                0.92132,                0.80919,                0.61066,                0.74208,                0.48849,                 1.0121,                 0.5137,                 0.9209,             0.00096535,             0.00096535,             0.00096535
                      9,                 1.0663,                0.56329,                0.91418,                0.82012,                0.62116,                0.75412,                0.50049,                0.99356,                0.50827,                0.91415,              0.0009604,              0.0009604,              0.0009604
                     10,                 1.0409,                0.55177,                0.90655,                  0.833,                 0.6063,                0.74843,                0.50154,                 0.9977,                0.50646,                 0.9184,             0.00095545,             0.00095545,             0.00095545
                     11,                  1.028,                0.54252,                0.90335,                0.78678,                0.65009,                 0.7591,                0.49232,                0.99708,                0.49889,                0.91469,              0.0009505,              0.0009505,              0.0009505
                     12,                 1.0113,                0.53731,                0.90024,                 0.7825,                0.65079,                0.75844,                 0.5008,                 0.9928,                0.49132,                0.91199,             0.00094555,             0.00094555,             0.00094555
                     13,                0.99783,                 0.5305,                0.89814,                0.80423,                 0.6356,                0.75958,                0.50736,                0.96781,                0.48599,                0.90633,              0.0009406,              0.0009406,              0.0009406
                     14,                0.98619,                0.52085,                0.89327,                 0.8063,                 0.6392,                0.76041,                0.50542,                 0.9816,                0.48717,                0.90784,             0.00093565,             0.00093565,             0.00093565
                     15,                 0.9637,                0.50944,                0.88723,                0.82814,                0.61159,                0.75179,                0.50471,                0.97565,                0.48458,                  0.905,              0.0009307,              0.0009307,              0.0009307
