                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0574,                 3.0709,                0.89006,                0.95732,                0.27598,                0.61746,                0.50525,                0.83993,                 1.3272,                 0.8754,                0.07426,                0.00026,                0.00026
                      2,                0.90863,                0.72284,                0.88535,                0.92953,                0.62512,                0.78922,                0.60258,                0.78026,                0.68858,                0.85761,                0.04752,             0.00051951,             0.00051951
                      3,                0.90125,                0.58698,                0.88744,                 0.9148,                0.68075,                0.81619,                 0.6154,                0.74056,                0.48743,                0.84804,               0.020768,             0.00076832,             0.00076832
                      4,                0.88782,                0.54133,                0.88533,                0.87683,                0.72154,                0.82876,                0.61547,                0.74605,                0.44682,                0.84331,              0.0009406,              0.0009406,              0.0009406
                      5,                0.88238,                0.51194,                0.88768,                0.86437,                0.72384,                0.82957,                0.61605,                0.74095,                0.41562,                0.84302,              0.0009208,              0.0009208,              0.0009208
                      6,                0.88617,                0.49812,                0.88296,                0.88857,                 0.7207,                0.83603,                0.61798,                0.73814,                0.40487,                 0.8413,               0.000901,               0.000901,               0.000901
                      7,                0.86181,                0.48046,                0.87869,                0.88917,                0.71467,                0.83077,                0.61671,                0.73932,                  0.399,                0.84355,              0.0008812,              0.0008812,              0.0008812
                      8,                 0.8766,                0.48042,                0.88367,                0.89072,                0.71546,                 0.8329,                0.61835,                0.75173,                0.39685,                 0.8443,              0.0008614,              0.0008614,              0.0008614
                      9,                0.86005,                0.47366,                0.88088,                0.87688,                0.73378,                0.83802,                0.62201,                0.73714,                 0.3906,                0.84254,              0.0008416,              0.0008416,              0.0008416
                     10,                0.85432,                0.46888,                0.87911,                0.87589,                0.72098,                 0.8285,                0.61835,                0.73274,                0.38768,                0.84283,              0.0008218,              0.0008218,              0.0008218
                     11,                0.87056,                 0.4747,                0.88269,                0.89288,                0.72317,                0.83429,                0.62593,                0.73071,                0.38449,                0.84273,               0.000802,               0.000802,               0.000802
                     12,                0.85827,                0.46613,                0.87616,                0.86843,                0.73166,                0.83416,                0.62045,                0.73858,                0.38532,                0.84264,              0.0007822,              0.0007822,              0.0007822
                     13,                0.84963,                0.45755,                 0.8767,                0.88829,                0.71858,                 0.8361,                0.62178,                 0.7295,                0.38164,                0.84243,              0.0007624,              0.0007624,              0.0007624
                     14,                0.83697,                0.45291,                0.87351,                0.86322,                0.72794,                0.83371,                0.61452,                0.74895,                0.38467,                0.84294,              0.0007426,              0.0007426,              0.0007426
                     15,                0.84534,                0.45812,                0.87605,                 0.8549,                0.74167,                 0.8357,                0.61962,                0.73058,                0.38313,                0.83935,              0.0007228,              0.0007228,              0.0007228
                     16,                0.83023,                0.45429,                0.87079,                0.89631,                0.71233,                0.83306,                0.62001,                 0.7324,                0.38481,                0.84041,               0.000703,               0.000703,               0.000703
                     17,                0.83931,                0.45283,                 0.8713,                0.90332,                0.70992,                0.83462,                0.62186,                0.73723,                  0.385,                0.84236,              0.0006832,              0.0006832,              0.0006832
                     18,                0.82581,                0.44864,                0.87358,                0.87691,                0.73155,                0.83688,                0.62127,                0.73326,                0.38089,                0.84247,              0.0006634,              0.0006634,              0.0006634
                     19,                0.82641,                0.45174,                0.87461,                0.89488,                0.71792,                0.83599,                0.62115,                0.73059,                0.37793,                 0.8427,              0.0006436,              0.0006436,              0.0006436
                     20,                0.80615,                0.43585,                0.86854,                0.88965,                0.71739,                0.83518,                0.62351,                0.72007,                0.37455,                0.84225,              0.0006238,              0.0006238,              0.0006238
                     21,                0.83083,                 0.4504,                0.87209,                 0.8712,                0.73081,                0.83392,                0.62651,                 0.7235,                0.37178,                 0.8412,               0.000604,               0.000604,               0.000604
                     22,                0.81397,                0.43815,                0.86743,                0.89312,                0.72028,                0.83422,                0.62509,                 0.7193,                0.37017,                0.84258,              0.0005842,              0.0005842,              0.0005842
                     23,                0.81482,                 0.4416,                0.86998,                0.90317,                0.71088,                0.83085,                0.62208,                0.72445,                0.37336,                0.84215,              0.0005644,              0.0005644,              0.0005644
                     24,                0.81886,                0.43993,                0.86817,                0.85903,                 0.7379,                0.83473,                0.61638,                0.73701,                0.37459,                0.84289,              0.0005446,              0.0005446,              0.0005446
                     25,                0.80928,                0.43524,                0.86759,                0.86065,                0.74377,                0.83772,                 0.6249,                0.71733,                 0.3723,                0.84098,              0.0005248,              0.0005248,              0.0005248
                     26,                0.82014,                0.44077,                0.86899,                 0.8691,                0.73811,                0.83544,                0.62481,                0.72737,                0.37088,                0.84327,               0.000505,               0.000505,               0.000505
