                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.8785,                 2.1506,                 3.1144,                      0,                      0,                      0,                      0,                 2.0099,                 2.5823,                 2.4211,               0.070361,              0.0032932,              0.0032932
                      2,                 1.7539,                 1.0266,                 1.5215,                0.80803,                0.40128,                0.61262,                0.36073,                 1.4638,                0.97679,                 1.4916,               0.040329,              0.0065937,              0.0065937
                      3,                  1.624,                0.94721,                 1.2791,                0.69237,                0.50729,                0.62789,                0.34919,                  1.357,                0.81649,                 1.3294,               0.010263,              0.0098612,              0.0098612
                      4,                 1.4898,                0.86372,                 1.1677,                0.72822,                0.50064,                 0.6438,                0.39408,                 1.1286,                0.78024,                 1.2103,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.3781,                0.77105,                 1.1048,                0.85388,                0.49518,                0.68865,                0.43115,                 1.1148,                0.67068,                 1.1025,               0.009802,               0.009802,               0.009802
                      6,                 1.3008,                0.72701,                 1.0688,                 0.7522,                0.54203,                0.68832,                0.41177,                 1.0535,                0.64597,                 1.0601,              0.0097525,              0.0097525,              0.0097525
                      7,                 1.2546,                0.69576,                 1.0466,                0.77614,                0.58332,                0.70775,                0.42988,                 1.0241,                0.57336,                 1.0421,               0.009703,               0.009703,               0.009703
                      8,                 1.2013,                0.66206,                 1.0282,                0.77924,                 0.5994,                 0.7213,                0.44139,                0.99887,                0.55549,                 1.0235,              0.0096535,              0.0096535,              0.0096535
                      9,                  1.158,                0.62963,                  1.006,                0.79403,                 0.5741,                0.71606,                0.44092,                0.95889,                0.59763,                 1.0118,               0.009604,               0.009604,               0.009604
                     10,                 1.1328,                0.61485,                0.99725,                0.83412,                 0.5689,                0.71514,                 0.4501,                0.92829,                0.53629,                 1.0038,              0.0095545,              0.0095545,              0.0095545
                     11,                 1.1046,                0.60341,                0.98843,                0.79838,                 0.5911,                0.72709,                 0.4416,                0.96954,                0.53998,                 1.0104,               0.009505,               0.009505,               0.009505
                     12,                 1.0847,                0.59039,                0.98169,                 0.8126,                0.59665,                0.72645,                0.44903,                0.90932,                0.52517,                 0.9943,              0.0094555,              0.0094555,              0.0094555
                     13,                 1.0794,                 0.5889,                0.97828,                0.80743,                0.59357,                0.73603,                0.47083,                0.92033,                0.52013,                0.99979,               0.009406,               0.009406,               0.009406
                     14,                 1.0523,                0.57432,                0.96916,                0.81362,                0.61105,                0.74816,                0.47614,                0.91198,                0.50459,                0.98528,              0.0093565,              0.0093565,              0.0093565
                     15,                 1.0349,                0.55826,                0.96371,                 0.8065,                0.63163,                0.75325,                0.48265,                0.86649,                0.47404,                0.97991,               0.009307,               0.009307,               0.009307
