                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.5545,                 1.8234,                 2.7234,                0.86894,                0.39984,                0.63154,                0.39817,                 1.5982,                 1.1535,                  1.894,               0.070174,               0.003314,               0.003314
                      2,                   1.62,                0.99744,                 1.4482,                0.74182,                0.61244,                0.69862,                0.38466,                 1.3601,                  1.055,                 1.4101,               0.040142,              0.0066144,              0.0066144
                      3,                  1.459,                0.89007,                 1.2367,                0.76431,                0.59419,                0.71445,                0.42423,                 1.3118,                0.89455,                 1.2974,               0.010076,              0.0098818,              0.0098818
                      4,                 1.3348,                0.81303,                 1.1444,                 0.7864,                0.66154,                0.76087,                0.45881,                 1.2369,                0.78406,                 1.2288,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.2296,                0.71771,                 1.0765,                 0.8331,                0.67087,                0.77991,                 0.4853,                 1.2247,                0.71008,                 1.1928,               0.009802,               0.009802,               0.009802
                      6,                 1.1455,                 0.6622,                 1.0431,                0.85127,                 0.6574,                0.78271,                0.50654,                 1.1296,                 0.6686,                 1.1459,              0.0097525,              0.0097525,              0.0097525
                      7,                 1.1067,                0.62448,                 1.0225,                0.83619,                0.68878,                 0.7978,                0.50771,                 1.1144,                0.64653,                 1.1309,               0.009703,               0.009703,               0.009703
                      8,                 1.0559,                0.59437,                0.99959,                 0.8464,                0.67235,                0.78932,                0.50672,                 1.1142,                0.63823,                 1.1172,              0.0096535,              0.0096535,              0.0096535
                      9,                   1.02,                0.56798,                0.98875,                0.83343,                0.70982,                0.80535,                0.52879,                 1.1132,                0.60385,                 1.0983,               0.009604,               0.009604,               0.009604
                     10,                 0.9832,                0.54675,                0.97572,                0.86675,                0.68475,                0.79899,                0.51961,                 1.0874,                0.59141,                 1.0949,              0.0095545,              0.0095545,              0.0095545
                     11,                0.96381,                0.54196,                0.96772,                0.84318,                 0.6891,                0.79964,                0.52723,                 1.0847,                0.57506,                 1.0876,               0.009505,               0.009505,               0.009505
                     12,                0.94773,                0.52467,                0.96162,                0.84693,                0.70682,                0.81485,                0.51937,                 1.0662,                0.57834,                 1.0797,              0.0094555,              0.0094555,              0.0094555
                     13,                0.93682,                0.51536,                0.95622,                0.86671,                0.70361,                0.81848,                 0.5466,                 1.0181,                0.56101,                 1.0542,               0.009406,               0.009406,               0.009406
                     14,                0.90894,                0.50447,                0.94771,                0.83478,                0.70956,                0.80544,                0.53363,                 1.0393,                0.56081,                 1.0646,              0.0093565,              0.0093565,              0.0093565
                     15,                0.89715,                0.49186,                0.94506,                0.84812,                0.71917,                0.82398,                0.55056,                 1.0265,                0.53893,                 1.0545,               0.009307,               0.009307,               0.009307
                     16,                0.88034,                0.48585,                0.94079,                0.84967,                 0.7064,                0.81516,                  0.559,                 1.0124,                0.52899,                 1.0481,              0.0092575,              0.0092575,              0.0092575
                     17,                0.86191,                0.47744,                0.93488,                0.84952,                0.68322,                0.79813,                  0.542,                  1.005,                0.54439,                 1.0444,               0.009208,               0.009208,               0.009208
                     18,                0.85016,                 0.4699,                0.92765,                0.84106,                0.71161,                0.81847,                0.54697,                 1.0162,                0.53817,                 1.0527,              0.0091585,              0.0091585,              0.0091585
                     19,                0.84221,                0.46673,                0.92826,                0.87844,                0.71131,                0.82609,                0.56023,                0.99103,                0.51535,                 1.0343,               0.009109,               0.009109,               0.009109
                     20,                0.83213,                0.45686,                0.92354,                 0.8879,                0.72369,                0.83657,                0.57202,                 1.0012,                0.51105,                 1.0332,              0.0090595,              0.0090595,              0.0090595
                     21,                0.82444,                0.44929,                0.91918,                0.87789,                0.72111,                 0.8321,                0.56589,                0.98118,                0.50614,                 1.0305,                0.00901,                0.00901,                0.00901
                     22,                0.81826,                 0.4442,                0.91487,                0.87472,                 0.7215,                0.83411,                0.57268,                0.97142,                0.51154,                 1.0261,              0.0089605,              0.0089605,              0.0089605
                     23,                0.81445,                0.44537,                0.91717,                 0.8914,                0.71956,                0.83621,                0.57336,                0.97188,                0.49723,                 1.0222,               0.008911,               0.008911,               0.008911
                     24,                0.80224,                0.44085,                 0.9132,                0.88355,                0.71371,                 0.8347,                0.56531,                 0.9709,                0.49904,                 1.0239,              0.0088615,              0.0088615,              0.0088615
                     25,                0.79068,                0.43496,                 0.9076,                 0.8865,                0.70962,                0.83493,                0.56486,                0.97166,                0.49502,                 1.0221,               0.008812,               0.008812,               0.008812
                     26,                0.77991,                0.42972,                 0.9087,                0.87523,                0.73437,                0.83469,                0.57434,                0.96648,                0.48721,                 1.0186,              0.0087625,              0.0087625,              0.0087625
                     27,                0.78131,                0.42778,                0.90947,                  0.847,                0.73172,                0.82582,                 0.5705,                0.96728,                0.49072,                  1.023,               0.008713,               0.008713,               0.008713
                     28,                0.76668,                0.41986,                0.90637,                0.86632,                0.72104,                 0.8277,                0.57429,                0.95171,                0.48733,                 1.0119,              0.0086635,              0.0086635,              0.0086635
                     29,                0.76957,                0.42145,                0.90319,                0.83293,                0.74281,                0.83305,                0.57765,                 0.9347,                 0.4838,                 1.0095,               0.008614,               0.008614,               0.008614
                     30,                0.76021,                0.41834,                0.90078,                0.86727,                0.72805,                0.83529,                0.58255,                0.95322,                0.47405,                 1.0095,              0.0085645,              0.0085645,              0.0085645
                     31,                0.75845,                0.41029,                0.89663,                0.87967,                0.72455,                0.83347,                0.57765,                0.94447,                0.47324,                 1.0142,               0.008515,               0.008515,               0.008515
                     32,                0.75017,                0.40835,                0.89614,                0.85414,                0.73208,                0.83526,                0.57586,                0.94833,                0.47725,                 1.0108,              0.0084655,              0.0084655,              0.0084655
                     33,                0.73679,                0.40989,                 0.8977,                0.84226,                 0.7539,                 0.8416,                0.58548,                0.95294,                 0.4702,                 1.0134,               0.008416,               0.008416,               0.008416
                     34,                0.73252,                0.40125,                0.89238,                0.87884,                0.74938,                0.84673,                0.59316,                0.92603,                0.46173,                 1.0031,              0.0083665,              0.0083665,              0.0083665
                     35,                 0.7225,                0.39842,                 0.8899,                0.87287,                0.74206,                0.84604,                0.59911,                0.91459,                0.45411,                0.99392,               0.008317,               0.008317,               0.008317
                     36,                0.72645,                0.39302,                0.88989,                0.89881,                0.73222,                0.84224,                0.59725,                0.93341,                0.45753,                0.99672,              0.0082675,              0.0082675,              0.0082675
                     37,                0.71586,                0.39166,                0.88798,                0.88994,                0.73025,                0.84241,                0.59595,                0.91725,                 0.4621,                0.99431,               0.008218,               0.008218,               0.008218
                     38,                0.70874,                0.39148,                0.88932,                0.86152,                0.75436,                0.84336,                 0.5995,                0.91534,                0.45092,                0.99612,              0.0081685,              0.0081685,              0.0081685
                     39,                 0.7129,                 0.3882,                0.88401,                 0.8856,                0.73467,                0.84523,                0.59506,                 0.9077,                0.45018,                0.98957,               0.008119,               0.008119,               0.008119
                     40,                0.70346,                0.38554,                0.88278,                0.87652,                 0.7404,                0.84805,                 0.5868,                0.91034,                0.45653,                 0.9945,              0.0080695,              0.0080695,              0.0080695
                     41,                0.69331,                0.37992,                0.88274,                0.87976,                0.74075,                0.84312,                0.59479,                0.90997,                0.45065,                0.99088,                0.00802,                0.00802,                0.00802
                     42,                0.69864,                0.38258,                0.88273,                0.88707,                0.73487,                0.84557,                0.59843,                0.90503,                0.45006,                0.98324,              0.0079705,              0.0079705,              0.0079705
                     43,                0.69414,                0.37901,                0.88245,                0.87467,                0.73391,                 0.8476,                0.60507,                0.89299,                0.44264,                0.98101,               0.007921,               0.007921,               0.007921
                     44,                0.68462,                0.37991,                0.88229,                0.88684,                0.75067,                 0.8482,                0.60587,                0.89912,                0.43765,                0.98489,              0.0078715,              0.0078715,              0.0078715
                     45,                0.68486,                0.37063,                 0.8788,                0.88579,                0.75296,                  0.854,                0.60977,                0.89122,                0.43938,                0.98157,               0.007822,               0.007822,               0.007822
                     46,                0.68793,                0.37415,                0.87903,                 0.8847,                0.75768,                0.85794,                0.60764,                0.90115,                0.44059,                 0.9852,              0.0077725,              0.0077725,              0.0077725
                     47,                0.67863,                0.37227,                 0.8756,                0.90622,                0.74217,                0.84867,                0.60858,                0.89081,                0.43861,                0.97818,               0.007723,               0.007723,               0.007723
                     48,                0.66959,                0.36372,                0.87346,                0.90595,                 0.7564,                0.85688,                0.60968,                0.90151,                0.43358,                0.98732,              0.0076735,              0.0076735,              0.0076735
                     49,                0.66864,                0.36854,                0.87621,                0.89799,                0.74235,                 0.8546,                 0.6044,                0.89547,                0.43617,                0.98064,               0.007624,               0.007624,               0.007624
                     50,                0.67489,                0.36748,                0.87419,                0.87727,                0.74957,                0.85052,                0.60371,                0.88589,                0.43441,                0.97729,              0.0075745,              0.0075745,              0.0075745
                     51,                 0.6608,                0.36104,                0.87015,                0.86469,                 0.7561,                0.85189,                0.60598,                0.88287,                0.42725,                0.97684,               0.007525,               0.007525,               0.007525
                     52,                0.65811,                0.36392,                0.87427,                0.88568,                0.75811,                0.85259,                0.61611,                0.88809,                0.42924,                0.98056,              0.0074755,              0.0074755,              0.0074755
                     53,                0.65399,                0.36113,                0.87104,                0.86817,                0.77884,                0.85928,                0.60668,                0.89291,                0.42931,                0.98552,               0.007426,               0.007426,               0.007426
